"""x-waarde"",""y-waarde"",""CO2"",""CH4"",""NO2"",""NH3"""
0,0,834.19,18.66,257.38,0.16
0,1,834.19,18.66,257.38,0.16
0,2,834.19,18.66,257.38,0.16
0,3,834.19,18.66,257.38,0.16
0,4,834.19,18.66,257.38,0.16
0,5,173.69,3.97,57.73,0.04
0,6,142.63,2.06,50.03,0.03
0,7,163.92,2.45,56.99,0.03
0,8,191.24,3.16,52.71,0.03
0,9,124.55,2.38,47.01,0.02
0,10,106.24,2.11,46.97,0.03
0,11,114.36,2.96,57.59,0.03
0,12,128.93,3.95,37.97,0.04
0,13,124.09,2.53,45.63,0.02
0,14,135.97,2.84,55.76,0.02
0,15,133.36,2.09,41.74,0.04
0,16,178.76,3.21,52.03,0.03
0,17,116.52,3.55,35.54,0.03
0,18,177.38,3.68,40.03,0.03
0,19,187.3,3.18,31.26,0.03
0,20,126.73,2.17,46.36,0.04
0,21,165.1,2.66,30.77,0.04
0,22,151.93,2.7,47.69,0.02
0,23,192.63,3.65,43.97,0.02
0,24,146.64,2.09,41.17,0.03
0,25,159.13,2.92,37.26,0.04
0,26,133.47,3.45,31.41,0.03
0,27,126.26,2.1,41.85,0.02
0,28,101.25,2.59,59.23,0.03
0,29,118.63,3.06,50.67,0.03
0,30,173.89,2.06,38.45,0.03
0,31,190.41,3.48,55.8,0.03
0,32,107.27,2.57,53.87,0.02
0,33,165.56,3.2,31.03,0.03
0,34,122.59,2.53,40.21,0.03
0,35,177.41,3.66,36.38,0.04
0,36,195.57,2.07,41.41,0.03
0,37,143.84,2.09,31.51,0.03
0,38,172.84,3.08,39.95,0.04
0,39,185.47,2.96,51.61,0.02
0,40,106.09,2.87,51.74,0.02
0,41,138.97,3.09,47.84,0.03
0,42,113.44,2.61,53.11,0.02
0,43,155.48,2.22,59.44,0.02
0,44,150.53,3.74,47.13,0.03
0,45,149.17,3.02,46.16,0.03
0,46,186.9,3.09,31.57,0.04
0,47,115.08,3.32,58.97,0.03
0,48,176.58,3.66,48.02,0.02
0,49,145.51,2.42,56.82,0.03
0,50,166.59,2.27,48.8,0.04
0,51,102.17,2.65,58.36,0.04
0,52,172.16,2.16,36.91,0.03
0,53,119.16,2.04,49.09,0.03
0,54,112.01,2.19,59.3,0.04
0,55,157.93,2.42,44.28,0.02
0,56,197.21,3.13,51.44,0.03
0,57,165.5,3.52,33.34,0.02
0,58,136.36,3.91,40.78,0.03
0,59,198.63,3.91,47.34,0.02
0,60,140.47,2.57,49.8,0.03
0,61,125.83,2.1,53.21,0.04
0,62,150.79,2.83,39.54,0.03
0,63,110.0,3.16,45.73,0.03
0,64,193.04,2.65,42.6,0.03
0,65,119.86,2.99,31.2,0.02
0,66,198.36,3.77,53.75,0.04
0,67,159.55,3.4,34.3,0.04
0,68,196.57,2.8,44.12,0.04
0,69,183.54,3.25,46.61,0.02
0,70,142.74,2.18,36.15,0.04
0,71,139.41,2.6,32.76,0.04
0,72,146.6,2.39,41.95,0.02
0,73,141.4,2.95,32.2,0.03
0,74,128.93,2.93,53.79,0.02
0,75,130.11,2.43,39.63,0.02
0,76,113.99,3.6,40.22,0.04
0,77,195.47,2.17,42.45,0.02
0,78,174.5,2.88,42.48,0.03
0,79,151.18,3.06,57.11,0.03
0,80,160.77,2.54,37.67,0.03
0,81,107.29,2.04,49.94,0.03
0,82,118.99,3.97,41.77,0.03
0,83,160.46,3.09,34.6,0.02
